"","Domain","GEOID","CountyName","NAME","Label","Stat","Value"
"19","life_expE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Average Life Expectancy","Tract","82.8 Years"
"20","badegreeE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Have Bachelors Degree","Tract","59.4% of Adults"
"21","hhincE","51003010500","Albemarle County","Census Tract 105, Albemarle County, Virginia","Median Household Income","Tract","$ 76,273"
"22","life_expE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Average Life Expectancy","Tract","79.7 Years"
"23","badegreeE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Have Bachelors Degree","Tract","49.5% of Adults"
"24","hhincE","51003010601","Albemarle County","Census Tract 106.01, Albemarle County, Virginia","Median Household Income","Tract","$ 59,781"
"25","life_expE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Average Life Expectancy","Tract","80.2 Years"
"26","badegreeE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Have Bachelors Degree","Tract","65.9% of Adults"
"27","hhincE","51003010602","Albemarle County","Census Tract 106.02, Albemarle County, Virginia","Median Household Income","Tract","$ 95,282"
"28","life_expE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Average Life Expectancy","Tract","76.7 Years"
"29","badegreeE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Have Bachelors Degree","Tract","35.6% of Adults"
"30","hhincE","51003010700","Albemarle County","Census Tract 107, Albemarle County, Virginia","Median Household Income","Tract","$ 52,262"
"31","life_expE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Average Life Expectancy","Tract","82.6 Years"
"32","badegreeE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Have Bachelors Degree","Tract","57.1% of Adults"
"33","hhincE","51003010800","Albemarle County","Census Tract 108, Albemarle County, Virginia","Median Household Income","Tract","$ 64,799"
"34","life_expE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Average Life Expectancy","Tract","78.6 Years"
"35","badegreeE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Have Bachelors Degree","Tract","92.4% of Adults"
"36","hhincE","51003010901","Albemarle County","Census Tract 109.01, Albemarle County, Virginia","Median Household Income","Tract","$ 36,042"
"37","life_expE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Average Life Expectancy","Tract","NA Years"
"38","badegreeE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Have Bachelors Degree","Tract","55.1% of Adults"
"39","hhincE","51003010902","Albemarle County","Census Tract 109.02, Albemarle County, Virginia","Median Household Income","Tract","$ 40,694"
"40","life_expE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Average Life Expectancy","Tract","NA Years"
"41","badegreeE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Have Bachelors Degree","Tract","58.1% of Adults"
"42","hhincE","51003010903","Albemarle County","Census Tract 109.03, Albemarle County, Virginia","Median Household Income","Tract","$  2,499"
"43","life_expE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Average Life Expectancy","Tract","86.3 Years"
"44","badegreeE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Have Bachelors Degree","Tract","79.5% of Adults"
"45","hhincE","51003011000","Albemarle County","Census Tract 110, Albemarle County, Virginia","Median Household Income","Tract","$146,100"
"46","life_expE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Average Life Expectancy","Tract","80.7 Years"
"47","badegreeE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Have Bachelors Degree","Tract","61.8% of Adults"
"48","hhincE","51003011100","Albemarle County","Census Tract 111, Albemarle County, Virginia","Median Household Income","Tract","$ 76,196"
"49","life_expE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","Average Life Expectancy","Tract","78.5 Years"
"50","badegreeE","51003011201","Albemarle County","Census Tract 112.01, Albemarle County, Virginia","Have Bachelors Degree","Tract","49.6% of Adults"
